Date,Open,High,Low,Close,Volume,Name
2015-01-02,111.39,111.44,107.35,109.33,53204626,AAPL
2015-01-05,108.29,108.65,105.41,106.25,64285491,AAPL
2015-01-06,106.54,107.43,104.63,106.26,65797116,AAPL
2015-01-07,107.2,108.2,106.7,107.75,40105934,AAPL
2015-01-08,109.23,112.15,108.7,111.89,59364547,AAPL
2015-01-09,112.67,113.25,110.21,112.01,53699527,AAPL
2015-01-12,112.6,112.63,108.8,109.25,49650790,AAPL
2015-01-13,111.43,112.8,108.91,110.22,67091928,AAPL
2015-01-14,109.04,110.49,108.5,109.8,48956588,AAPL
2015-01-15,110,110.06,106.66,106.82,60013996,AAPL
2015-01-16,107.03,107.58,105.2,105.99,78513345,AAPL
2015-01-20,107.84,108.97,106.5,108.72,49899907,AAPL
2015-01-21,108.95,111.06,108.27,109.55,48575897,AAPL
2015-01-22,110.26,112.47,109.72,112.4,53796409,AAPL
2015-01-23,112.3,113.75,111.53,112.98,46464828,AAPL
2015-01-26,113.74,114.36,112.8,113.1,55614979,AAPL
2015-01-27,112.42,112.48,109.03,109.14,95568749,AAPL
2015-01-28,117.62,118.12,115.31,115.31,146477063,AAPL
2015-01-29,116.32,119.19,115.56,118.9,84436432,AAPL
2015-01-30,118.4,120,116.85,117.16,83745461,AAPL
2015-02-02,118.05,119.17,116.08,118.63,62739100,AAPL
2015-02-03,118.5,119.09,117.61,118.65,51915749,AAPL
2015-02-04,118.5,120.51,118.31,119.56,70149743,AAPL
2015-02-05,120.02,120.23,119.25,119.94,42246245,AAPL
2015-02-06,120.02,120.25,118.45,118.93,43706567,AAPL
2015-02-09,118.55,119.84,118.43,119.72,38889797,AAPL
2015-02-10,120.17,122.15,120.16,122.02,62008506,AAPL
2015-02-11,122.77,124.92,122.5,124.88,73561797,AAPL
2015-02-12,126.06,127.48,125.57,126.46,74474466,AAPL
2015-02-13,127.28,127.28,125.65,127.08,54272219,AAPL
2015-02-17,127.49,128.88,126.92,127.83,63152405,AAPL
2015-02-18,127.62,128.78,127.45,128.72,44891737,AAPL
2015-02-19,128.48,129.03,128.33,128.45,37362381,AAPL
2015-02-20,128.62,129.5,128.05,129.5,48948419,AAPL
2015-02-23,130.02,133,129.66,133,70974110,AAPL
2015-02-24,132.94,133.6,131.17,132.17,69228130,AAPL
2015-02-25,131.56,131.6,128.15,128.79,74711746,AAPL
2015-02-26,128.78,130.87,126.61,130.42,91287529,AAPL
2015-02-27,130,130.57,128.24,128.46,62014847,AAPL
2015-03-02,129.25,130.28,128.3,129.09,48096663,AAPL
2015-03-03,128.96,129.52,128.09,129.36,37816283,AAPL
2015-03-04,129.1,129.56,128.32,128.54,31666340,AAPL
2015-03-05,128.58,128.75,125.76,126.41,56517146,AAPL
2015-03-06,128.4,129.37,126.26,126.6,72842060,AAPL
2015-03-09,127.96,129.57,125.06,127.14,88528487,AAPL
2015-03-10,126.41,127.22,123.8,124.51,68856582,AAPL
2015-03-11,124.75,124.77,122.11,122.24,68938974,AAPL
2015-03-12,122.31,124.9,121.63,124.45,48362719,AAPL
2015-03-13,124.4,125.4,122.58,123.59,51827283,AAPL
2015-03-16,123.88,124.95,122.87,124.95,35874300,AAPL
2015-03-17,125.9,127.32,125.65,127.04,51023104,AAPL
2015-03-18,127,129.16,126.37,128.47,65270945,AAPL
2015-03-19,128.75,129.25,127.4,127.5,45809490,AAPL
2015-03-20,128.25,128.4,125.16,125.9,68695136,AAPL
2015-03-23,127.12,127.85,126.52,127.21,37709674,AAPL
2015-03-24,127.23,128.04,126.56,126.69,32842304,AAPL
2015-03-25,126.54,126.82,123.38,123.38,51655177,AAPL
2015-03-26,122.76,124.88,122.6,124.24,47572869,AAPL
2015-03-27,124.57,124.7,122.91,123.25,39546151,AAPL
2015-03-30,124.05,126.4,124,126.37,47099670,AAPL
2015-03-31,126.09,126.49,124.36,124.43,42090553,AAPL
2015-04-01,124.82,125.12,123.1,124.25,40621437,AAPL
2015-04-02,125.03,125.56,124.19,125.32,32220131,AAPL
2015-04-06,124.47,127.51,124.33,127.35,37193975,AAPL
2015-04-07,127.64,128.12,125.98,126.01,35012268,AAPL
2015-04-08,125.85,126.4,124.97,125.6,37329243,AAPL
2015-04-09,125.85,126.58,124.66,126.56,32483974,AAPL
2015-04-10,125.95,127.21,125.26,127.1,40187953,AAPL
2015-04-13,128.37,128.57,126.61,126.85,36365123,AAPL
2015-04-14,127,127.29,125.91,126.3,25524593,AAPL
2015-04-15,126.41,127.13,126.01,126.78,28970419,AAPL
2015-04-16,126.28,127.1,126.11,126.17,28368987,AAPL
2015-04-17,125.55,126.14,124.46,124.75,51957046,AAPL
2015-04-20,125.57,128.12,125.17,127.6,47054310,AAPL
2015-04-21,128.1,128.2,126.67,126.91,32435057,AAPL
2015-04-22,126.99,128.87,126.32,128.62,37654505,AAPL
2015-04-23,128.3,130.42,128.14,129.67,45770902,AAPL
2015-04-24,130.49,130.63,129.23,130.28,44525905,AAPL
2015-04-27,132.31,133.13,131.15,132.65,96954207,AAPL
2015-04-28,134.46,134.54,129.57,130.56,118923970,AAPL
2015-04-29,130.16,131.59,128.3,128.64,63386083,AAPL
2015-04-30,128.64,127.88,124.58,125.15,83195423,AAPL
2015-05-01,126.1,130.13,125.3,128.95,58512638,AAPL
2015-05-04,129.5,130.57,128.26,128.7,50988278,AAPL
2015-05-05,128.15,128.45,125.78,125.8,49271416,AAPL
2015-05-06,126.56,126.75,123.36,125.01,72141010,AAPL
2015-05-07,124.77,126.08,124.02,125.26,43940895,AAPL
2015-05-08,126.68,127.62,126.11,127.62,55550382,AAPL
2015-05-11,127.39,127.56,125.62,126.32,42035757,AAPL
2015-05-12,125.6,126.88,124.82,125.86,48160032,AAPL
2015-05-13,126.15,127.19,125.87,126.01,34694235,AAPL
2015-05-14,127.41,128.95,127.16,128.95,45203456,AAPL
2015-05-15,129.07,129.49,128.21,128.77,38208034,AAPL
2015-05-18,128.38,130.72,128.36,130.19,50882918,AAPL
2015-05-19,130.69,130.88,129.64,130.07,44633240,AAPL
2015-05-20,130,130.98,129.34,130.06,36454932,AAPL
2015-05-21,130.07,131.63,129.83,131.39,39730364,AAPL
2015-05-22,131.6,132.97,131.4,132.54,45595972,AAPL
2015-05-26,132.6,132.91,129.12,129.62,70697560,AAPL
2015-05-27,130.34,132.26,130.05,132.04,45833246,AAPL
2015-05-28,131.86,131.95,131.1,131.78,30733309,AAPL
2015-05-29,131.23,131.45,129.9,130.28,50884452,AAPL
2015-06-01,130.28,131.39,130.05,130.54,32112797,AAPL
2015-06-02,129.86,130.66,129.32,129.96,33667627,AAPL
2015-06-03,130.66,130.94,129.9,130.12,30983542,AAPL
