Date,Open,High,Low,Close,Volume,Name
2017-01-03,757.92,758.76,747.7,753.67,3521066,AMZN
2017-01-04,758.39,759.68,754.2,757.18,2510526,AMZN
2017-01-05,761.55,782.4,760.26,780.45,5830068,AMZN
2017-01-06,782.36,799.44,778.48,795.99,5986234,AMZN
2017-01-09,798,801.77,791.77,796.92,3446109,AMZN
2017-01-10,796.6,798,789.54,795.9,2558369,AMZN
2017-01-11,793.66,799.5,789.51,799.02,2992791,AMZN
2017-01-12,800.31,814.13,799.5,813.64,4873922,AMZN
2017-01-13,814.32,821.65,811.4,817.14,3791945,AMZN
2017-01-17,815.7,816,803.44,809.72,3670529,AMZN
2017-01-18,809.5,811.73,804.27,807.48,2354201,AMZN
2017-01-19,810,813.51,807.32,809.04,2540784,AMZN
2017-01-20,815.28,816.02,806.26,808.33,3376196,AMZN
2017-01-23,806.8,818.5,805.08,817.88,2797474,AMZN
2017-01-24,822,823.99,814.5,822.44,2971740,AMZN
2017-01-25,825.79,837.42,825.29,836.52,4023078,AMZN
2017-01-26,835.53,843.84,833,839.15,3586323,AMZN
2017-01-27,839,839.7,829.44,835.77,2998700,AMZN
2017-01-30,833,833.5,816.38,830.38,3747336,AMZN
2017-01-31,823.75,826.99,819.56,823.48,3137196,AMZN
2017-02-01,829.21,833.78,824.94,832.35,3850181,AMZN
2017-02-02,836.59,842.49,828.26,839.95,7350492,AMZN
2017-02-03,806.72,818.3,804,810.2,10868773,AMZN
2017-02-06,809.8,810.72,803,807.64,3897301,AMZN
2017-02-07,809.31,816.16,807.5,812.5,3466091,AMZN
2017-02-08,812.69,821.48,812.5,819.71,2857985,AMZN
2017-02-09,821.6,825,819.71,821.36,2484948,AMZN
2017-02-10,823.82,828,822.85,827.46,2429609,AMZN
2017-02-13,831.62,843,828.55,836.53,4172618,AMZN
2017-02-14,837,838.31,831.45,836.39,2792442,AMZN
2017-02-15,834,842.81,832.82,842.7,2968853,AMZN
2017-02-16,841.84,845,839.38,844.14,2714667,AMZN
2017-02-17,842,847.27,840.73,845.07,3112275,AMZN
