Date,Open,High,Low,Close,Volume,Name
2015-01-02,46.66,47.42,46.54,46.76,27913852,MSFT
2015-01-05,46.37,46.73,46.25,46.32,39673865,MSFT
2015-01-06,46.38,46.75,45.54,45.65,36447854,MSFT
2015-01-07,45.98,46.46,45.49,46.23,29114061,MSFT
2015-01-08,46.75,47.75,46.72,47.59,29645202,MSFT
2015-01-09,47.61,47.82,46.9,47.19,23944181,MSFT
2015-01-12,47.42,47.54,46.36,46.6,23651887,MSFT
2015-01-13,46.97,47.91,46.06,46.36,35270601,MSFT
2015-01-14,45.96,46.24,45.62,45.96,29719580,MSFT
2015-01-15,46.22,46.38,45.41,45.48,32750779,MSFT
2015-01-16,45.31,46.28,45.17,46.24,35695289,MSFT
2015-01-20,46.3,46.65,45.57,46.39,36161860,MSFT
2015-01-21,45.94,46.14,45.48,45.92,39081143,MSFT
2015-01-22,46.38,47.14,46.08,47.13,35898035,MSFT
2015-01-23,47.36,47.39,46.8,47.18,26211594,MSFT
2015-01-26,47,47.13,46.24,47.01,42525530,MSFT
2015-01-27,42.95,43.2,42.1,42.66,169163953,MSFT
2015-01-28,42.74,42.79,41.16,41.19,84507078,MSFT
2015-01-29,40.93,42.12,40.79,42.01,63585273,MSFT
2015-01-30,41.55,41.58,40.35,40.4,78004944,MSFT
2015-02-02,40.59,41.37,40.23,41.28,50352532,MSFT
2015-02-03,41.63,41.93,41.04,41.6,52082448,MSFT
2015-02-04,41.94,42.21,41.36,41.84,41614812,MSFT
2015-02-05,42.22,42.64,41.86,42.45,36548168,MSFT
2015-02-06,42.68,42.79,42.15,42.41,34616554,MSFT
2015-02-09,42.24,42.74,42.21,42.36,31381061,MSFT
2015-02-10,42.74,42.77,42.18,42.6,29670676,MSFT
2015-02-11,42.65,42.65,42.21,42.38,38262509,MSFT
2015-02-12,42.66,43.09,42.51,43.09,33268831,MSFT
2015-02-13,43.38,43.87,43.15,43.87,40264887,MSFT
2015-02-17,43.97,44,43.19,43.58,33695749,MSFT
2015-02-18,43.63,43.7,43.39,43.53,27111657,MSFT
2015-02-19,43.18,43.53,43.05,43.5,27603420,MSFT
2015-02-20,43.51,43.88,43.29,43.86,29721133,MSFT
2015-02-23,43.7,44.19,43.65,44.15,32518754,MSFT
2015-02-24,44.15,44.3,43.92,44.09,25271747,MSFT
2015-02-25,43.95,44.09,43.8,43.99,29759820,MSFT
2015-02-26,43.99,44.23,43.89,44.06,28957329,MSFT
2015-02-27,44.13,44.2,43.66,43.85,33807740,MSFT
2015-03-02,43.67,44.19,43.55,43.88,31924049,MSFT
2015-03-03,43.56,43.82,43.09,43.28,31748648,MSFT
2015-03-04,43.01,43.21,42.88,43.06,25748692,MSFT
2015-03-05,43.07,43.24,42.82,43.11,23193541,MSFT
2015-03-06,43,43.11,42.15,42.36,36248785,MSFT
2015-03-09,42.19,43.12,42.19,42.85,32107957,MSFT
2015-03-10,42.35,42.71,42.03,42.03,39159730,MSFT
2015-03-11,42.31,42.37,41.84,41.98,32215314,MSFT
2015-03-12,41.33,41.65,40.86,41.02,59992502,MSFT
2015-03-13,40.7,41.47,40.61,41.38,58007705,MSFT
2015-03-16,41.47,41.64,41.28,41.56,35273452,MSFT
2015-03-17,41.37,41.83,41.15,41.7,31673448,MSFT
2015-03-18,41.43,42.83,41.33,42.5,44194771,MSFT
2015-03-19,42.26,42.59,42.22,42.28,33879066,MSFT
2015-03-20,42.56,42.98,42.49,42.88,71904529,MSFT
2015-03-23,42.88,43.13,42.78,42.86,26246086,MSFT
2015-03-24,42.78,43.17,42.75,42.9,25513252,MSFT
2015-03-25,42.92,42.92,41.44,41.46,43469907,MSFT
2015-03-26,41.22,41.61,40.92,41.21,37495627,MSFT
2015-03-27,41.12,41.43,40.83,40.97,34401398,MSFT
2015-03-30,41.1,41.54,40.91,40.96,35049662,MSFT
2015-03-31,40.78,41.03,40.54,40.66,34887219,MSFT
2015-04-01,40.6,40.76,40.31,40.72,36865322,MSFT
2015-04-02,40.66,40.74,40.12,40.29,37487476,MSFT
2015-04-06,40.34,41.78,40.18,41.54,39223692,MSFT
2015-04-07,41.61,41.91,41.31,41.53,28809375,MSFT
2015-04-08,41.46,41.69,41.04,41.42,24753438,MSFT
2015-04-09,41.25,41.62,41.25,41.48,25723861,MSFT
2015-04-10,41.63,41.95,41.41,41.72,28022002,MSFT
2015-04-13,41.4,42.06,41.39,41.76,30276692,MSFT
2015-04-14,41.8,42.03,41.39,41.65,24244382,MSFT
2015-04-15,41.76,42.46,41.68,42.26,27343581,MSFT
2015-04-16,41.95,42.34,41.82,42.16,22509652,MSFT
2015-04-17,41.67,41.74,41.16,41.62,42387608,MSFT
2015-04-20,41.73,43.17,41.68,42.9,46057733,MSFT
2015-04-21,43,43.15,42.53,42.64,26013844,MSFT
2015-04-22,42.67,43.13,42.55,42.98,25064273,MSFT
2015-04-23,42.89,43.61,42.8,43.34,46309530,MSFT
2015-04-24,45.66,48.14,45.65,47.87,130933665,MSFT
2015-04-27,47.23,48.13,47.22,48.03,59248172,MSFT
2015-04-28,47.78,49.21,47.7,49.16,60730778,MSFT
2015-04-29,48.72,49.31,48.5,49.06,47804562,MSFT
2015-04-30,48.7,49.54,48.6,48.64,64725457,MSFT
2015-05-01,48.58,48.88,48.4,48.66,38937336,MSFT
2015-05-04,48.37,48.87,48.18,48.24,34039485,MSFT
2015-05-05,47.82,48.16,47.31,47.6,50369191,MSFT
2015-05-06,47.57,47.77,46.02,46.28,52433020,MSFT
2015-05-07,46.27,47.08,46.16,46.7,32971654,MSFT
2015-05-08,47.55,47.98,47.52,47.75,35364911,MSFT
2015-05-11,47.55,47.91,47.37,47.37,24609416,MSFT
2015-05-12,46.85,47.68,46.42,47.35,29928264,MSFT
2015-05-13,48.19,48.32,47.57,47.62,34184613,MSFT
2015-05-14,48.03,48.82,48.03,48.72,32980892,MSFT
2015-05-15,48.87,48.9,48.05,48.3,28642694,MSFT
2015-05-18,47.98,48.22,47.61,48.01,24136502,MSFT
2015-05-19,47.56,47.81,47.18,47.58,28574813,MSFT
2015-05-20,47.39,47.93,47.27,47.58,25047919,MSFT
2015-05-21,47.28,47.6,47,47.42,22410698,MSFT
2015-05-22,47.3,47.35,46.82,46.9,25720583,MSFT
2015-05-26,46.83,46.88,46.19,46.59,29581860,MSFT
2015-05-27,46.82,47.77,46.62,47.61,27335639,MSFT
2015-05-28,47.5,48.02,47.39,47.45,19283666,MSFT
2015-05-29,47.43,47.57,46.59,46.86,36519594,MSFT
2015-06-01,47.06,47.77,46.62,47.23,28837332,MSFT
2015-06-02,46.93,47.35,46.62,46.92,21498326,MSFT
2015-06-03,47.37,47.74,46.82,46.85,28002154,MSFT
2015-06-04,46.79,47.16,46.2,46.36,27745512,MSFT
2015-06-05,46.31,46.52,45.84,46.14,25438086,MSFT
2015-06-08,46.3,46.43,45.67,45.73,22121634,MSFT
2015-06-09,45.76,45.94,45.46,45.65,24406057,MSFT
2015-06-10,45.79,46.83,45.69,46.61,28417405,MSFT
2015-06-11,46.66,46.92,46.13,46.44,27347758,MSFT
2015-06-12,46.22,46.47,45.9,45.97,23930972,MSFT
2015-06-15,45.45,45.65,45.02,45.48,33254517,MSFT
2015-06-16,45.35,46.24,45.3,45.83,27070306,MSFT
2015-06-17,45.73,46.07,45.36,45.97,28704061,MSFT
2015-06-18,46.22,46.8,46.17,46.72,32658343,MSFT
2015-06-19,46.79,46.82,45.99,46.1,63837036,MSFT
2015-06-22,46.33,46.72,46.16,46.23,20318055,MSFT
2015-06-23,46.13,46.28,45.62,45.91,25896473,MSFT
2015-06-24,45.67,46.24,45.55,45.64,34890901,MSFT
2015-06-25,46.03,46.06,45.5,45.65,20615995,MSFT
2015-06-26,45.65,46.28,45.03,45.26,49835287,MSFT
2015-06-29,45.04,45.23,44.36,44.37,34081746,MSFT
